"","Cluster1","Cluster2","Cluster3","Cluster4","Cluster5","Cluster6","Cluster7","Cluster8","Cluster9","Cluster10","Cluster11","Cluster12","Cluster13","Cluster14","Cluster15","Cluster16","Cluster17","Cluster18","Cluster19","Cluster20","Cluster21","Cluster22","Cluster23","Cluster24","Cluster25","Cluster26","Cluster27","Cluster28","Cluster29","Cluster30","Cluster31","Cluster32","Cluster33","Cluster34","Cluster35","Cluster36","Cluster37","Cluster38"
"logOddsRatio_for_unit_Hippocampus_Vol_mm3",0.135519245431984,-0.0232291833301266,-0.253804096631526,0.129823983481094,-0.16319876734546,0.385101092287687,0.267609883354593,0.271109974752658,-0.444874247386528,0.0487974104538427,0.0678007037112419,0.089492530448307,0.150318850603364,0.2171120096404,0.200084750352369,-0.0253695422261953,0.0880713459348448,0.0885695280288075,0.0481007172824514,0.0674309439459191,0.100001461177742,0.261434877502346,0.0552208133691012,0.115729284013535,0.246454385255894,0.326205861570357,-0.111589237354764,0.276402222301072,-0.00116722694921457,0.0631691850760356,-0.233259547309451,0.206703996027325,0.0212821970201381,0.0915363355231349,0.346583042990377,-0.0583722076566756,0.0775210794563699,0.221886982342198
"logOddsRatio_for_unit_prop_IBA1_Coverage_Area",-0.0206934515371494,0.00125046726322518,0.0328000803953224,-0.0241037180591768,0.0180315620109483,-0.0560682642396574,-0.0373674695582579,-0.034928171446465,0.0646195496275504,-0.0106003229633962,-0.0128795432221006,-0.0142646935346776,-0.0219428678236717,-0.0235237000842248,-0.0293142540967134,0.0265337007025461,-0.00264254014267869,-0.0127126704603197,0.026913696281777,-0.00664069881533715,0.000306933956477845,-0.0389220034595111,-0.00495033365844117,-0.0186112424948111,-0.00872935672777836,-0.0466885008975074,0.0281341651977866,-0.0438736306368216,-0.00306338510130235,-0.00542175985231387,0.0248317921322738,-0.0110591130364631,0.0035035156236601,-0.0283570309248003,-0.0423231258609053,0.0106462224562017,-0.00613301660578787,-0.0206570921968765
"logOddsRatio_for_unit_prop_CD68_Coverage_Area",-0.0410520050160155,0.00655696430973947,0.0708880664658363,-0.054715837793723,0.0513832414188546,-0.143965516588668,-0.0898619949178099,-0.0817872992999896,0.138778636888639,-0.0304967724365897,-0.040343824617935,-0.0372198745162109,-0.0165476955473778,-0.0651738058036164,-0.0801278126719236,0.0608243383105419,-0.027830794249126,-0.029086236514509,0.00118947739635223,-0.0134119084395097,-0.0184894716603319,-0.0932973918067388,0.00504936816956293,-0.0395372717711903,-0.0463161671173424,-0.140621526373817,0.0461514755174798,-0.103560287085025,-0.0223492461832256,-0.0118512746502612,0.0817987988393873,-0.0462156744396667,0.00262061283412238,-0.00134786065695109,-0.117032078602184,0.035622688494952,-0.0200181878245476,-0.0162570504000009
"logOddsRatio_for_unit_prop_GFAP_Quant_Coverage_Area",-0.0263750162412759,0.000664581981799916,0.0416628196215314,-0.0184707089459712,0.00639897749824591,-0.0482731385181815,-0.0332331088567994,-0.0178978143711263,0.0809786535822316,0.000985641098103017,0.00469718016099345,-0.00488787972194198,-0.044877215398665,-0.0211464365487472,-0.00973170295070525,0.00788211978372016,0.0075264191685332,-0.00755111745794907,0.0443148546030434,-0.0145226633005023,0.00412374184302791,-0.031535915914929,-0.021592389827774,-0.0159490611297788,-0.00247982673121234,-0.0411932084296757,0.0386104590477044,-0.0423265561258822,0.0106361436113312,-0.0109941347426524,0.00655417371866444,-0.0107046754272829,0.00749005094084352,-0.0259428027934317,-0.0422101821715936,-0.0065199723009644,0.016410970306238,-0.0418513856872494
"logOddsRatio_for_unit_prop_S100beta_Coverage_Area",-0.0560816118807397,0.00382639541423292,0.091634724128398,-0.0573417004443198,0.0417409860457326,-0.143873647805089,-0.0953581840508471,-0.0891813519543319,0.176748420703976,-0.0221190127474726,-0.0253051237246552,-0.0346339102578788,-0.0659832485005075,-0.0615736778638799,-0.0745244254264379,0.0427729800742135,-0.00759517043185184,-0.0306871970360172,0.0764112195746948,-0.0248308819933161,-0.0189835288783761,-0.0974297998197777,-0.0223856836124022,-0.046850206686872,-0.0401172054603234,-0.118859896551806,0.0713525890392806,-0.114661525179215,-0.00165301021713629,-0.0198146966921342,0.0564929324701108,-0.038399089074245,0.00679835876914019,-0.0473736357493051,-0.115896003384156,0.0217590726828504,-0.00273891844672214,-0.0599613611839526
"logOddsRatio_for_unit_prop_AT8_Coverage_Area",-0.0131682116840056,0.000148440743633566,0.0191688834337009,-0.0125869419792982,-0.000230708083311851,-0.0221335439781612,-0.0148486133583248,-0.00184493054612604,0.0392052599884262,0.000234103113135343,0.00288990076287569,-0.00189266483550395,-0.0201433949486495,-0.00960790141846964,-0.00113410740917257,0.0188079717930665,0.0047818593391195,-0.00429805623358349,0.0254858908651211,-0.000366449118800026,0.00803211966274516,-0.0153867993636973,-0.00633608166309012,-0.00678250352603387,0.00799119471844673,-0.0183139115888474,0.0213004119362165,-0.0194892357411898,0.00189030228951383,-0.00252503631115395,0.000670848034385484,0.00099537864631111,0.0116127565004001,-0.0271331811513331,-0.0172028493530649,-0.000858688802948945,0.00870638464955378,-0.0151902094851748
"StdErr_for_unit_Hippocampus_Vol_mm3",0.0487416740900013,0.0408848716714305,0.100219002422918,0.0547066959954749,0.0695329066882325,0.0970571679024119,0.0512154247726193,0.0811804050952263,0.173379923818817,0.0405859320368055,0.0604188246372547,0.0312751834842516,0.0960979484433278,0.0803350031435217,0.0704642324595615,0.162119821267241,0.0984553677077693,0.032215670993041,0.174748643250622,0.0373948016118686,0.0695453517273757,0.0620765714779905,0.0519662596881438,0.0360178689929576,0.102094661688838,0.0739511778627509,0.110307844328439,0.0764900146109841,0.0546900348364077,0.0427921328285688,0.164670653054083,0.168725521241176,0.0771221014413598,0.310576007765122,0.114408894361749,0.0569366343168712,0.0853997521685929,0.0910058807864212
"StdErr_for_unit_prop_IBA1_Coverage_Area",0.00510383198991398,0.00508994565338032,0.012110788534897,0.00493100613445808,0.0117452479602786,0.00949865094883532,0.0046047469145264,0.0095011526452789,0.0194634168213937,0.00544119109974684,0.00806788385627252,0.00374295511481204,0.0101427519891298,0.0104473082601046,0.0102539254537679,0.0185935429262803,0.0124534447520365,0.00376261506126169,0.0160913818369101,0.00455102901493449,0.00681680179550143,0.00580204526435911,0.00643119484104692,0.00355858428860682,0.0146787158216336,0.00795779489520842,0.0119209197008567,0.00797575276639851,0.00671381077510759,0.00539668393778617,0.0229512037936364,0.0128621741908724,0.00938413335297137,0.038293655191765,0.00646948641854627,0.00623451853090644,0.0109240458139329,0.0117653979859335
"StdErr_for_unit_prop_CD68_Coverage_Area",0.0122419427781358,0.0121956131053468,0.0306451477632847,0.0130822643339124,0.0202350104733278,0.0206335920944601,0.0107995637289268,0.0191254414294747,0.0505436802982303,0.00888016494149757,0.0141074181966964,0.00571681138970893,0.0285696980944625,0.0239361662841654,0.0164897753756103,0.0393425732155495,0.0291992229426951,0.0102792741860367,0.042701931184484,0.0102579715291684,0.0176274125484478,0.0159957524494359,0.0211267084432902,0.0101990228421214,0.0277125028614976,0.0217352653468292,0.0340446396594178,0.0221022461612913,0.0153265697713375,0.0130264379126988,0.0414339905541087,0.0296860358784631,0.0196777336491073,0.0928951868814686,0.0401366802245302,0.0120138506961334,0.0262297209007596,0.0329998921329109
"StdErr_for_unit_prop_GFAP_Quant_Coverage_Area",0.00629942806675358,0.00644523820131848,0.0157804877908337,0.00875468432820607,0.0125875776109975,0.0172898403407042,0.0100875849180391,0.0167216369951463,0.0248389397230186,0.00595979640359001,0.00899751997734872,0.00580978670362072,0.0092595346342354,0.0141745659187347,0.0132823083831296,0.0290797113257339,0.0155787902219201,0.0062291284884284,0.0200752945469979,0.00567847882344022,0.00862412707165002,0.0111253981978523,0.0065263255443267,0.00589539000083868,0.0152706381966763,0.0118650685327176,0.0144171539199956,0.0103647829864923,0.00805496123134812,0.00779298891797919,0.0242890777137067,0.0163014630999636,0.014370635908215,0.0501165805626482,0.017200682797082,0.0106791333941217,0.0134212401924508,0.0139878654219267
